model,target,variogram_model,fold,test_blocks,n_train_available,n_train_used,n_test,n_closest_points,status,error,mae,rmse,r2,mape,bias,explained_variance
OrdinaryKriging,Ca,gaussian,3,Chelannur,3906,1200,1002,48,success,,138.24716554054922,189.1513671825539,-0.001007755224013307,48.05263117769498,6.001617217296899,0.0
OrdinaryKriging,Ca,gaussian,4,Nedumangad,3909,1200,999,48,success,,204.2368180671033,240.4150656558521,-0.00040999586637369134,49.296525261933496,1.441766376573791,-0.000374017250635017
OrdinaryKriging,Ca,linear,1,Pampady,3052,1200,1856,48,success,,308.54961528147646,356.03562803621514,-0.30448381523429924,432.8309141301715,169.29473281292962,-0.009540424348911003
OrdinaryKriging,Ca,linear,2,Vazhoor,3857,1200,1051,48,success,,368.0908677404421,446.7951662611529,-0.6506296585956977,83.81722485052457,-266.20917010275906,-0.06465513395699718
OrdinaryKriging,Ca,linear,3,Chelannur,3906,1200,1002,48,success,,135.3620162672152,192.2769649545546,-0.0343630290478627,42.356815681993716,-34.8726213212692,-0.00033884958491881
OrdinaryKriging,Ca,linear,4,Nedumangad,3909,1200,999,48,success,,204.23681806806806,240.41506565510468,-0.0004099958601535558,49.296525260251215,1.4417663496830015,-0.0003740172457569191
OrdinaryKriging,Mg,spherical,1,Pampady,3052,1200,1856,48,success,,85.84433504717671,108.34573339515022,-0.022458230204111418,190.17237506155988,33.79796363940566,0.0770371730477799
OrdinaryKriging,Mg,spherical,2,Vazhoor,3857,1200,1051,48,success,,116.65574619551472,143.09764365876003,-0.39135708329530017,49.41010351388995,-85.93860561393728,0.11046554888000715
OrdinaryKriging,Mg,spherical,3,Chelannur,3906,1200,1002,48,success,,49.823897236681155,72.88490569052182,-0.015408083112401938,69.11813664752933,8.978247933492318,0.0
OrdinaryKriging,Mg,spherical,4,Nedumangad,3909,1200,999,48,success,,113.59977293179334,133.96834543122108,-0.8054420548799712,93.47105227174838,89.69778774780754,0.003919611383098487
OrdinaryKriging,Mg,exponential,1,Pampady,3052,1200,1856,48,success,,85.52539344986367,108.12095721680208,-0.018220207212988004,189.61534687007654,33.09152787228681,0.07715941253795078
OrdinaryKriging,Mg,exponential,2,Vazhoor,3857,1200,1051,48,success,,116.9649579541369,143.53134805799678,-0.3998037932552492,49.36024248682401,-86.70445347092026,0.11100274623221262
OrdinaryKriging,Mg,exponential,3,Chelannur,3906,1200,1002,48,success,,57.86888604811968,76.03776947608851,-0.10515746394766312,83.84702262740696,23.45510275692214,2.220446049250313e-16
OrdinaryKriging,Mg,exponential,4,Nedumangad,3909,1200,999,48,success,,113.60119977995609,133.96974891319817,-0.8054798834976109,93.47211923836018,89.69854841763052,0.0038955101855284724
OrdinaryKriging,Mg,gaussian,1,Pampady,3052,1200,1856,48,success,,86.59596469790284,108.85208516937739,-0.03203744127871455,191.46399851844697,35.398334849100344,0.07710347964546571
OrdinaryKriging,Mg,gaussian,2,Vazhoor,3857,1200,1051,48,success,,115.01761329513678,140.8309465140441,-0.3476274070544758,49.608283747756694,-82.05257967990705,0.10983785113790667
OrdinaryKriging,Mg,gaussian,3,Chelannur,3906,1200,1002,48,success,,46.162351479037916,72.32989092613572,-2.404584522386344e-06,60.99086086162637,-0.11215982208693753,2.220446049250313e-16
OrdinaryKriging,Mg,gaussian,4,Nedumangad,3909,1200,999,48,success,,113.59977293179331,133.96834543122108,-0.8054420548799712,93.47105227174836,89.69778774780754,0.003919611383098376
OrdinaryKriging,Mg,linear,1,Pampady,3052,1200,1856,48,success,,85.85556833559406,108.35347116687102,-0.022604278057452687,190.1928864546463,33.82345497924096,0.07704126605059292
OrdinaryKriging,Mg,linear,2,Vazhoor,3857,1200,1051,48,success,,115.6084679562916,141.63804228524072,-0.3631180514904808,49.53623286570867,-83.44715047509173,0.11002956942203446
OrdinaryKriging,Mg,linear,3,Chelannur,3906,1200,1002,48,success,,64.58808276521232,79.79593301490495,-0.21710189360506904,95.04207823141093,33.70148934629149,0.0
OrdinaryKriging,Mg,linear,4,Nedumangad,3909,1200,999,48,success,,112.24890668750196,132.65089527865854,-0.7701070751535251,92.46833260270407,87.78146764505573,0.005041302528905334
OrdinaryKriging,S,spherical,1,Pampady,3052,1200,1856,48,success,,21.448394855706646,32.21117245315868,-0.05827512697016202,476.28295911454944,-4.049544487865076,-0.04154890438843406
OrdinaryKriging,S,spherical,2,Vazhoor,3857,1200,1051,48,success,,18.684596260211173,26.108522542065963,-0.2879682932453296,164.83407252024261,-8.189610167966048,-0.16124191055015302
OrdinaryKriging,S,spherical,3,Chelannur,3906,1200,1002,48,success,,6.632453659470158,18.03217686808433,-0.0009104216219948391,129.4025906951317,0.5438408607313909,2.220446049250313e-16
OrdinaryKriging,S,spherical,4,Nedumangad,3909,1200,999,48,success,,16.9387092445412,23.443974547402544,0.002975022015607509,88.95481871856445,1.0946379634603893,0.005148646753560526
OrdinaryKriging,S,exponential,1,Pampady,3052,1200,1856,48,success,,21.17805407865229,32.264180409554015,-0.06176107021353472,456.9530523631615,-4.966349939625953,-0.036603994424225794
OrdinaryKriging,S,exponential,2,Vazhoor,3857,1200,1051,48,success,,18.68459626020255,26.10852254206948,-0.2879682932456771,164.8340725200248,-8.189610168016808,-0.16124191054892956
OrdinaryKriging,S,exponential,3,Chelannur,3906,1200,1002,48,success,,6.7611366469824175,18.046941362890852,-0.002550155616861449,134.04815583416553,0.9101938450386462,2.220446049250313e-16
